Taxonomic_Group_0;Taxonomic_Group;0;1;2;3
_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__;g__";1;0;0;0
Actinomyces_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces";407;527;524;616
Arcanobacterium_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium";1;0;1;0
_1;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__Corynebacteriaceae;g__";0;0;1;0
Corynebacterium_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium";1;10;2;6
Dermatophilus_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__Dermatophilaceae;g__Dermatophilus";1;0;0;1
_2;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__Intrasporangiaceae;g__";1;1;1;0
Kocuria_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__Micrococcaceae;g__Kocuria";1;0;0;0
Rothia_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales;f__Micrococcaceae;g__Rothia";423;298;1045;510
Scardovia_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia";0;1;3;1
Atopobium_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium";61;93;23;29
Olsenella_0;"k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella";0;1;0;0
Bacteroides_0;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides";0;1;0;0
_3;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__";7;24;9;4
Porphyromonas_0;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas";11;20;30;6
Tannerella_0;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella";5;16;6;10
Prevotella_0;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella";4250;3984;3820;4855
Capnocytophaga_0;"k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga";49;177;45;163
_4;"k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__";0;0;3;3
Gemella_0;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Gemella";191;117;224;101
Bacillus_0;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus";1;0;3;3
Pontibacillus_0;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Pontibacillus";1;0;1;0
Abiotrophia_0;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia";0;0;1;0
Granulicatella_0;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella";16;29;154;198
Enterococcus_0;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus";0;1;0;0
Lactobacillus_0;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus";0;0;1;0
Streptococcus_0;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus";784;1261;1086;1262
_5;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__";12;20;11;10
_6;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XI,_Incertae_Sedis;g__";2;7;4;8
Eubacterium_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII,_Incertae_Sedis;g__Eubacterium";7;8;5;3
Mogibacterium_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII,_Incertae_Sedis;g__Mogibacterium";6;5;3;2
_7;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__";77;53;38;37
Butyrivibrio_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio";0;0;2;0
Catonella_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Catonella";8;15;23;16
Johnsonella_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Johnsonella";1;1;1;3
Moryella_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella";0;8;2;1
Oribacterium_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium";91;57;15;30
Shuttleworthia_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia";0;5;1;0
Peptococcus_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus";1;0;2;0
Peptostreptococcus_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus";0;1;2;0
_8;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__";40;73;110;109
Dialister_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister";17;21;23;17
Selenomonas_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas";7;18;20;33
Veillonella_0;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella";2150;1322;1305;1059
Fusobacterium_0;"k__Bacteria;p__Fusobacteria;c__Fusobacteria_(class);o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium";801;858;613;657
Leptotrichia_0;"k__Bacteria;p__Fusobacteria;c__Fusobacteria_(class);o__Fusobacteriales;f__Fusobacteriaceae;g__Leptotrichia";402;526;303;269
Bradyrhizobium_0;"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium";0;0;1;0
_9;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__";0;0;1;0
Aquabacterium_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Aquabacterium";0;0;1;0
Tepidimonas_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Tepidimonas";0;0;1;0
Azohydromonas_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Azohydromonas";0;1;0;0
Schlegelella_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Schlegelella";0;1;0;1
_10;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__";0;1;0;1
Neisseria_0;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria";277;384;259;322
Campylobacter_0;"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter";169;151;136;225
Cardiobacterium_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium";1;0;0;0
Pseudomonas_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Pseudomonadaceae;g__Pseudomonas";0;1;4;0
_11;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__";1285;640;1365;1084
Actinobacillus_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus";1;2;1;2
Gallibacterium_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Gallibacterium";4;0;1;1
Haemophilus_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus";515;363;830;556
Acinetobacter_0;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter";0;1;0;0
_12;"k__Bacteria;p__SR1;c__;o__;f__;g__";1;0;0;0
Treponema_0;"k__Bacteria;p__Spirochaetes;c__Spirochaetes_(class);o__Spirochaetales;f__Spirochaetaceae;g__Treponema";4;23;13;5
TG5_0;"k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__TG5";1;2;2;1
_13;"k__Bacteria;p__TM7;c__TM7-3;o__EW055;f__;g__";7;2;0;0
Bulleidia_0;"k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia";30;17;5;8
Mycoplasma_0;"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma";7;23;10;3
